Generic Name,BDDCS Class,Maximum Strength Dose Value,Maximum Strength Dose Unit,Formulation,Route,Measured Solubility (mg/mL),Dose Number,% Excreted Unchanged in Urine,MW Drug,MW Sol,pDose,Measured LogS (molar),Measured LogP,Measured LogD74,ALOGPS 2.1 solubility,cDose Number (ALOGPS based),minVSLgS 3-7.5,cDose Number (minVSLgS based),CLogP,HBA,HBD,PSA,Ro5,PSDA
Cytarabine,1,20,mg/mL,solution,injection (i.v.),,,11,243.22,243.22,,,-2.51,-2.24,-0.75,,-0.6,,-2.2,7,4,133.23,0,1.83
Dabigatran Etexilate,1,110,mg,capsules,oral,1.8,0.2,0,627.75,627.75,3.76,-2.54,3.8,,-5.13,95,-7.74,38587,4.13,8,2,146.19,1,4.29
Dantrolene,1,100,mg,capsules,oral,2,0.2,5,314.26,314.26,3.5,-2.2,1.7,0.77,-3.59,5,-3.44,3.5,1.63,5,1,118.74,0,2.65
Darifenacin,1,15,mg,tablets,oral,,,12.5,426.56,426.56,4.45,,,,-6.16,203,-3.74,0.8,3.62,3,1,56.52,0,7.55
Debrisoquine,1,20,mg,tablets,oral,29,0.003,12,175.24,175.24,3.94,-0.78,0.75,-2.96,-2.33,0.1,2.59,0.000001,0.9,3,2,52.16,0,3.36
Desalkylflurazepam,1,,active metabolite,,,,,0.5,288.71,288.71,,,2.7,2.78,-4.18,,-3.78,,2.81,2,1,42.15,0,6.85
Desipramine,1,200,mg,tablets,oral,,,2,266.39,266.39,3.12,,4.9,1.4,-3.81,19,-0.8,0.02,4.47,2,1,15.14,0,17.6
Desmethyldiazepam (Nordazepam),1,10,mg,tablets,oral,0.057,0.7,0.5,270.72,270.72,4.43,-3.68,2.93,2.93,-4.08,1.8,-3.69,0.7,3.02,2,1,42.15,0,6.42
Desogestrel,1,2,mg,tablets,oral,0.32,0.02,0,310.48,310.48,5.32,-2.99,,,-5.02,2,-4.86,1.4,5.68,1,1,22.56,1,13.76
Dexamethasone,1,1,mg,tablets,oral,0.092,0.03,2.6,392.47,392.47,5.72,-3.63,1.94,1.83,-3.9,0.06,-3.65,0.03,1.79,5,3,104.22,0,3.77
Dexmethylphenidate,1,10,mg,tablets,oral,,,0.5,233.31,233.31,4.37,,1.8,-0.28,-3.11,0.2,-1.61,0.007,2.56,2,1,41.64,0,5.6
Dextromethorphan Hydrobromide,1,60,mg,tablets,oral,15,0.02,0.19,271.41,271.41,3.66,-1.26,,,-4.5,28,-1.35,0.02,3.95,2,0,10.28,0,26.4
Dezocine,1,15,mg/mL,solution,injection (i.v.),20,,1,245.37,245.37,,-1.09,,1.12,-4.23,,-0.65,,3.72,2,2,50.84,0,4.83
Diazepam,1,10,mg,tablets,oral,0.057,0.7,0.5,284.75,284.75,4.45,-3.7,2.82,2.99,-4.37,3.3,-3.75,0.8,2.96,2,0,28.76,0,9.9
Diclofenac,1,50,mg,tablets,oral,9,0.02,0.5,296.16,296.16,3.77,-1.52,4.51,1.13,-4.82,45,-3.43,1.8,4.73,3,2,54.8,0,5.4
Dihydroquinidine; Hydroquinidine,1,300,mg,tablets,oral,11.1,0.1,18,326.44,362.9,3.04,-1.51,3.44,1.82,-3,3.3,-2.61,1.3,3.27,6,3,43.08,0,7.58
Dilevalol,1,50,mg,tablets,oral,16,,2.5,328.41,328.41,3.82,-1.31,3.09,1.07,-4.75,34,-2.09,0.08,2.5,4,4,106.25,0,3.09
Diltiazem,1,120,mg,capsules,oral,,,2,414.53,414.53,3.54,,2.7,2.22,-4.4,29,-3.77,6.8,3.65,4,0,56.49,0,7.34
Diphenhydramine,1,50,mg,capsules,oral,1000,0.0002,2,255.36,255.36,3.71,0.59,3.27,1.61,-3.51,2.5,-1.84,0.05,3.45,2,0,9.97,0,25.61
Dobutamine Hydrochloride,1,13,mg/mL,solution,injection (i.v.),,,0.1,301.39,301.39,,,,,-4.37,,-1.85,,2.43,4,4,83.19,0,3.62
Dolasetron,1,100,mg,tablets,oral,,,0,324.38,324.38,3.51,,,,-3.13,1.7,-1.96,0.1,2.34,3,1,60.48,0,5.36
Dosulepin; Dothiepin,1,75,mg,tablets,oral,500,,5,295.45,295.45,3.6,0.23,4.49,2.76,-5.71,521,-2.26,0.2,4.53,1,0,1.18,0,250.38
Doxazosin,1,8,mg,tablets,oral,,,,451.49,451.49,4.75,,,0.6,-2.73,0.04,-4.55,2.5,3.53,9,1,104.9,0,4.3
Doxepin,1,100,mg,capsules,oral,,,0,279.39,279.39,3.45,,4.29,2.37,-3.94,12,-2.3,0.3,4.09,2,0,10.28,0,27.18
Doxorubicin,1,2,mg/mL,solution,injection (i.v.),10,,3.5,543.53,543.53,,-1.74,1.27,1.27,-2.64,,-3.74,,0.32,12,6,222.89,3,2.44
Duloxetine Hydrochloride,1,67,mg,capsules,oral,,,0,297.42,297.42,3.65,,,,-5.01,93,-2.22,0.2,4.26,2,1,23.68,0,12.56
Eletriptan Hydrobromide,1,40,mg,tablets,oral,4,0.04,5,382.53,382.53,3.98,-1.98,,1.1,-5.46,121,-2.3,0.08,3.36,3,1,51.9,0,7.37
Enalapril,1,20,mg,tablets,oral,25,0.003,10,376.46,376.46,4.27,-1.18,,,-3.25,0.4,-0.67,0.001,0.67,5,2,101.91,0,3.69
Enfuvirtide,1,90,mg/mL,solution,injection (i.m.),1000,,0,4491.98,4491.98,,-0.65,,,,,,,,67,63,2095.89,3,2.14
Epirubicin,1,2,mg/mL,solution,injection (i.v.),,,9.5,543.53,543.53,,,1.27,0.46,-2.64,,-3.77,,0.32,12,6,222.89,3,2.44
Ergonovine; Ergometrine,1,0,mg,tablets,oral,10,0.00008,,325.41,325.41,6.21,-1.51,,,-3.01,0.003,-3.07,0.003,1.23,3,3,70.55,0,4.61
Ergotamine  Tartrate,1,2,mg,tablets,oral,2,0.004,,581.68,1313.41,5.46,-2.82,3.69,2.85,-3.43,0.02,-2.74,0.003,4.66,6,3,118.24,1,4.92
Escitalopram,1,20,mg,tablets,oral,,,8,324.4,324.4,4.21,,,,-4.72,13,-2.94,0.2,3.13,3,0,28.67,0,11.32
Esmolol,1,10,mg/mL,solution,injection (i.v.),20,,0.5,295.38,295.38,,-1.17,,,-3.31,,-0.8,,1.72,4,2,73.3,0,4.03
Esomeprazole Magnesium,1,20,mg,tablets,oral,0.5,0.2,0.5,345.42,345.42,4.24,-2.84,2.23,,-2.99,0.2,-3.69,1.1,2.57,5,1,71.04,0,4.86
Estradiol,1,2,mg,tablets,oral,0.09,0.09,0.5,272.39,272.39,5.13,-3.48,4.01,,-4.09,0.4,-3.9,0.2,3.78,2,2,45.43,0,6
Eszopiclone,1,3,mg,tablets,oral,,,5,388.82,388.82,5.11,,,,-2.66,0.01,-2.82,0.02,1.25,6,0,79.29,0,4.9
Ethanol,1,62,mg/mL,solution,oral,,,2.5,46.07,46.07,,,-0.31,-0.31,1.05,,1.06,,-0.24,1,1,22.56,0,2.04
Ethinylestradiol,1,1,mg,tablets,oral,,,3,296.41,296.41,5.47,,3.67,3.67,-4.65,0.6,-4.16,0.2,3.86,2,2,45.43,0,6.52
Ethosuximide,1,250,mg,capsules,oral,39.2,0.03,25,141.17,141.17,2.75,-0.56,0.38,1.13,-0.19,0.01,-1.24,0.1,0.4,2,1,51.12,0,2.76
Etonogestrel,1,157,æg,tablets,"topical (skin, membranes)",0.51,0.001,0.1,324.47,324.47,6.32,-2.8,,,-5.02,,-4.61,,5.68,2,1,22.56,1,14.38
Everolimus,1,1,mg,tablets,oral,0.01,0.4,0,958.25,958.25,4.98,-4.98,,,-5.77,,-8.68,,7.1,13,3,212.97,3,4.5
Exenatide,1,0,mg/mL,solution,injection (s.c.),25,,,4186.66,4186.66,,-2.22,,,,,,,1.61,67,58,1923.78,3,2.18
Famciclovir,1,500,mg,tablets,oral,250,0.008,0,321.34,321.34,2.81,-0.11,,,-2.4,1.6,-2.79,3.9,0.09,6,1,113.1,0,2.84
Fentanyl,1,2,mg,tablets,oral,25,0.0003,8,336.48,336.48,5.32,-1.13,4.05,2.92,-4.14,0.3,-3.65,0.08,3.62,2,0,20.32,0,16.56
Fesoterodine,1,8,mg,tablets,oral,256,0.0001,0,411.59,411.59,4.71,-0.21,,,-5.3,16,-1.83,0.005,4.36,3,1,51.11,0,8.05
Finasteride,1,5,mg,tablets,oral,0.043,0.5,0.5,372.56,372.56,4.87,-3.94,3.03,3.03,-5.28,10,-4.38,1.3,3.01,2,2,65.69,0,5.67
Fludarabine,1,,active metabolite,,,,,24,285.24,285.24,,,-0.8,-2.32,-1.37,,-1.68,,-2.01,8,4,135.44,0,2.11
Fludarabine 5'-Monophosphate,1,10,mg,tablets,oral,3.53,0.01,,365.22,365.22,4.56,-2.01,,,-2.09,0.01,0.64,0.00003,-3.07,8,4,185.94,0,1.96
Fludrocortisone Acetate,1,0,mg,tablets,oral,0.14,0.003,1,422.5,422.5,6.63,-3.48,1.67,1.67,-3.24,0.002,-4,0.01,1.54,5,2,104.22,0,4.05
Flumazenil,1,0,mg/mL,solution,injection (i.v.),0.128,,0.5,303.3,303.3,,-3.37,1,0.87,-2.46,,-3.34,,1.29,3,0,57.02,0,5.32
Flunitrazepam,1,1,mg,tablets,oral,0.004,1,0.5,313.29,313.29,5.5,-4.89,2.06,2.06,-4.57,0.5,-3.53,0.04,1.78,4,0,72.91,0,4.3
Fluorouracil,1,25,mg/mL,solution,injection (i.v.),12.2,,5,130.08,130.08,,-1.03,-0.89,-0.89,-1.34,,-0.62,,-0.58,2,2,64.48,0,2.02
Fluoxetine,1,20,mg,capsules,oral,15.2,0.005,1.25,309.33,309.33,4.19,-1.31,4.05,1.95,-5.26,47,-1.19,0.004,4.57,2,1,23.68,0,13.06
Flurazepam,1,30,mg,capsules,oral,500,0.0002,0.1,387.89,387.89,4.11,0.11,3.94,2.35,-4.59,12,-3.52,1,4.22,3,0,29.93,0,12.96
Fluvastatin Sodium,1,40,mg,capsules,oral,50,0.003,1.5,411.48,411.48,4.01,-0.92,3.8,,-4.97,36,-4,3.9,4.05,4,3,86.52,0,4.76
Fluvoxamine,1,100,mg,tablets,oral,14.869,0.03,2,318.34,318.34,3.5,-1.33,1.12,1.21,-4.64,55,-1.68,0.06,3.32,4,1,58.37,0,5.45
Fosfluconazole,1,100,mg,tablets,oral,,,,386.26,386.26,3.59,,,0.95,-2.49,0.3,2.41,0.000004,-0.78,7,2,120.98,0,3.12
Frovatriptan,1,3,mg,tablets,oral,,,6,243.31,243.31,4.99,,,,-3.3,0.08,0.42,0.00002,0.72,2,3,74.79,0,3.25
Galantamine,1,12,mg,tablets,oral,10,0.005,20,287.36,287.36,4.38,-1.46,,,-2.22,0.03,-1.09,0.002,1.03,4,1,41.94,0,6.85
Gemcitabine Hydrochloride,1,40,mg/mL,solution,injection (i.v.),15,,8,263.2,263.2,,-1.24,,,-1.05,,-0.97,,-0.71,6,3,110.67,0,2.38
Glibornuride,1,25,mg,tablets,oral,0.2,0.5,0.5,366.48,366.48,4.17,-3.26,2.6,3.53,-3.77,1.6,-3.75,1.5,3.7,4,3,107.5,0,3.41
Granisetron,1,1,mg,tablets,oral,100,0.00004,11,312.42,312.42,5.49,-0.49,,-0.85,-2.87,0.009,-1.16,0.0002,1.72,3,1,47.74,0,6.54
Guanabenz,1,16,mg,tablets,oral,11,0.006,,231.09,231.09,4.16,-1.32,,0.12,-3.29,0.5,-1.38,0.007,2.98,4,3,78.44,0,2.95
Heparin; Enoxaparin,1,20,mg/mL,solution,injection (i.v.),50,,0.5,1134.94,1134.94,,-1.36,,,-2.02,,-3.81,,-9.69,33,15,662.73,3,1.71
Hexobarbital,1,250,mg,tablets,oral,640,0.002,0.5,236.27,236.27,2.98,0.43,1.98,1.98,-2.21,0.7,-2.81,2.7,1.63,3,1,70.56,0,3.35
